,TPM,Gene Heterogeneity,log10TPM,htg.qtl
KPNA6,79.64397600861788,0.6934997528452655,1.9011529328659216,0.75
EIF3I,69.33525757083962,0.7164146285423901,1.8409541332354236,1.0
MARCKSL1,348.54776790590256,0.6752941189260554,2.542262305866806,0.5
SFPQ,71.25176815799645,0.7031395690870269,1.8527956461083785,1.0
PSMB2,98.96427727258731,0.6866526336795317,1.9954784573944948,0.75
MAP7D1,51.36050743489193,0.6842227633163583,1.7106293058529471,0.5
THRAP3,50.696506365884126,0.7017426773517272,1.7049780319507606,1.0
MRPS15,225.91270017392517,0.7091488953209719,2.353940646415785,1.0
AKIRIN1,86.81466128814318,0.6855244197196079,1.9385930751632507,0.5
NDUFS5,1499.8731359012163,0.633186754400195,3.1760545265836133,0.25
CAP1,79.31522619447068,0.705384227993222,1.8993565671092918,1.0
YBX1,836.2047749458668,0.6665554869663785,2.9223126431554634,0.5
SLC2A1,53.24339076313665,0.6893696700418154,1.726265705383185,0.75
CDC20,217.37802214894072,0.7145654168675272,2.337215632933643,1.0
ATP6V0B,129.07170502600877,0.6945686812440216,2.110831047085229,0.75
RPS8,4577.921207187987,0.516890886449445,3.6606683135508544,0.25
PRDX1,575.6704662784647,0.6640237646999919,2.7601739493417017,0.5
AKR1A1,204.87362778307096,0.6923667534582225,2.3114860577403076,0.75
NASP,198.41991767501594,0.6931381255527248,2.297585265107377,0.75
UQCRH,673.0937321602519,0.5722046943076496,2.828075546431222,0.25
DHCR24,58.04473010431241,0.668822112491795,1.7637627961588407,0.5
L1TD1,155.42501226127573,0.6936524362436501,2.1915209103011177,0.75
SERBP1,179.354714507675,0.6843208203707947,2.253712797001714,0.5
SRSF11,55.330584435317576,0.7183071790776281,1.7429652575210919,1.0
FUBP1,27.94339872080304,0.6166468393061932,1.446279227688036,0.25
GNG5,213.5396580476069,0.6356092092702963,2.329478542929232,0.25
RPL5,1687.2501833476933,0.6744232038492284,3.227179484006722,0.5
CNN3,171.7469511116298,0.6216836007721087,2.2348890361120946,0.25
PSMA5,54.76443887708132,0.685813643360909,1.7384986421955722,0.5
ATP5PB,64.47652634579184,0.6882846287869164,1.8094016319376778,0.75
CAPZA1,90.85400084083051,0.7193737553462174,1.9583440566285102,1.0
SLC16A1,66.25386677303501,0.6605914338985802,1.8212112300682555,0.5
CSDE1,90.8921079656448,0.7058169007064161,1.9585261756777625,1.0
PHGDH,325.1359125570947,0.7016467642436712,2.5120649417015737,1.0
RBM8A,53.09327362329437,0.6853469846213179,1.725039503881402,0.5
MRPS21,197.66115676440404,0.6947728308569827,2.295921332640384,0.75
PSMD4,112.72450215146796,0.7112749604864569,2.0520183259183042,1.0
PSMB4,1143.1931507852962,0.6675770246909851,3.058119613801579,0.5
S100A10,263.902770203591,0.7047373958682814,2.4214439490598334,1.0
S100A11,542.4201312512248,0.6924554354887663,2.7343357994598145,0.75
ILF2,207.42896807760977,0.6987244634727369,2.316869406815567,0.75
JTB,109.15792908691716,0.7093690282217939,2.0380552877650286,1.0
RPS27,8123.983431829445,0.33268821067399323,3.909769029027158,0.25
TPM3,80.21917722620394,0.700118328395707,1.904278203295691,0.75
CKS1B,523.2531882204067,0.7146178567049161,2.7187118832072104,1.0
KRTCAP2,285.7125911861983,0.7048831044975422,2.455929379907394,1.0
FDPS,212.4093950419146,0.6921998160431785,2.3271737220357207,0.75
SSR2,192.71746434465882,0.7086129007947165,2.284921072853886,1.0
PMF1,111.72524853288328,0.6934565994936822,2.04815132942181,0.75
CCT3,258.11975876968137,0.7003662742437711,2.411821250557801,0.75
NAXE,264.0187559297937,0.7395827552009232,2.42163478030723,1.0
NES,49.42668787051336,0.6727945882145402,1.6939615089484579,0.5
DUSP23,185.66217158592548,0.6689214629275116,2.2687234258451237,0.5
TSTD1,244.02922831736146,0.7138047917133669,2.3874418465712237,1.0
NDUFS2,97.97953430612509,0.6863710579750124,1.9911353709361848,0.75
MGST3,145.88316793277852,0.6828927181839024,2.1640051856863445,0.5
PRDX6,314.98164238505314,0.7025855690276068,2.4982852431762805,1.0
GLUL,26.81597910551511,0.6510913378914486,1.4283936585565733,0.25
DHX9,33.550918702363425,0.6758293356212117,1.5257044166631122,0.5
TPR,18.124560201416113,0.6909151991017642,1.2582674770683844,0.75
